"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade","Collection_YearWeek","Collection_Date_dec"
"MZ515802.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9839-V01","ssRNA(-)",15271,"complete","United Kingdom",2019-12-03,"Human respiratory syncytial virus A isolate OX02-9839-V01, complete genome",2019,49,"2019/2020","A","A.D","GA2.3.5","2019/49",2019.92054794521
"MZ515803.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0105-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-19,"Human respiratory syncytial virus A isolate UU01A-0105-V02, complete genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5","2019/47",2019.88219178082
"MZ515804.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-D02","ssRNA(-)",15286,"complete","Spain",2019-12-30,"Human respiratory syncytial virus A isolate SE02-0021-D02, complete genome",2020,1,"2019/2020","A","A.D.2.2.1","GA2.3.5","2020/01",2019.99452054795
"MZ515810.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0102-D03","ssRNA(-)",15242,"partial","Spain",2019-12-21,"Human respiratory syncytial virus A isolate SE02-0102-D03, partial genome",2019,51,"2019/2020","A","A.D.2.2.1","GA2.3.5","2019/51",2019.9698630137
"MZ515811.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8168-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-01-12,"Human respiratory syncytial virus A isolate OX02-8168-D02, complete genome",2018,2,"2017/2018","A","A.D.1","GA2.3.5","2018/02",2018.0301369863
"MZ515814.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0006-D03","ssRNA(-)",15273,"complete","United Kingdom",2018-12-19,"Human respiratory syncytial virus A isolate IM02-0006-D03, complete genome",2018,51,"2018/2019","A","A.D","GA2.3.5","2018/51",2018.96438356164
"MZ515815.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0006-D02","ssRNA(-)",15273,"partial","United Kingdom",2018-12-18,"Human respiratory syncytial virus A isolate IM02-0006-D02, partial genome",2018,51,"2018/2019","A","A.D","GA2.3.5","2018/51",2018.96164383562
"MZ515816.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D06","ssRNA(-)",14811,"partial","Spain",2018-12-09,"Human respiratory syncytial virus A isolate SE02-0001-D06, partial genome",2018,50,"2018/2019","A","A.D.3","GA2.3.5","2018/50",2018.93698630137
"MZ515819.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-V01","ssRNA(-)",15279,"complete","United Kingdom",2018-10-22,"Human respiratory syncytial virus A isolate OX02-8663-V01, complete genome",2018,43,"2018/2019","A","A.D","GA2.3.5","2018/43",2018.80547945205
"MZ515821.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0167-V01","ssRNA(-)",15273,"complete","Netherlands",2020-01-20,"Human respiratory syncytial virus A isolate UU02-0167-V01, complete genome",2020,4,"2019/2020","A","A.D.2.1","GA2.3.5","2020/04",2020.05191256831
"MZ515822.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8889-D02","ssRNA(-)",14992,"partial","United Kingdom",2018-11-28,"Human respiratory syncytial virus A isolate OX02-8889-D02, partial genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/48",2018.90684931507
"MZ515825.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0159-V02","ssRNA(-)",15272,"complete","Netherlands",2019-12-03,"Human respiratory syncytial virus A isolate UU01A-0159-V02, complete genome",2019,49,"2019/2020","A","A.D.5","GA2.3.5","2019/49",2019.92054794521
"MZ515826.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0040-D04","ssRNA(-)",15235,"partial","Netherlands",2018-01-19,"Human respiratory syncytial virus A isolate UU02-0040-D04, partial genome",2018,3,"2017/2018","A","A.D","GA2.3.5","2018/03",2018.04931506849
"MZ515828.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0090-V01","ssRNA(-)",15278,"complete","Netherlands",2018-12-20,"Human respiratory syncytial virus A isolate UU02-0090-V01, complete genome",2018,51,"2018/2019","A","A.D.3","GA2.3.5","2018/51",2018.96712328767
"MZ515833.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0049-V02","ssRNA(-)",15276,"complete","Netherlands",2018-12-10,"Human respiratory syncytial virus A isolate UU01A-0049-V02, complete genome",2018,50,"2018/2019","A","A.D.2.2","GA2.3.5","2018/50",2018.9397260274
"MZ515834.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8639-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-21,"Human respiratory syncytial virus A isolate OX02-8639-V01, complete genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5","2019/47",2019.88767123288
"MZ515835.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0073-V01","ssRNA(-)",15275,"complete","Netherlands",2018-12-20,"Human respiratory syncytial virus A isolate UU02-0073-V01, complete genome",2018,51,"2018/2019","A","A.D.2.2","GA2.3.5","2018/51",2018.96712328767
"MZ515840.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0003-D02","ssRNA(-)",15282,"complete","Netherlands",2017-11-15,"Human respiratory syncytial virus A isolate UU02-0003-D02, complete genome",2017,46,"2017/2018","A","A.D","GA2.3.5","2017/46",2017.87123287671
"MZ515841.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0154-V02","ssRNA(-)",15281,"complete","Netherlands",2019-12-04,"Human respiratory syncytial virus A isolate UU01A-0154-V02, complete genome",2019,49,"2019/2020","A","A.D.2.2","GA2.3.5","2019/49",2019.92328767123
"MZ515842.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0172-V02","ssRNA(-)",15275,"complete","Spain",2020-01-10,"Human respiratory syncytial virus A isolate SE01A-0172-V02, complete genome",2020,2,"2019/2020","A","A.D","GA2.3.5","2020/02",2020.02459016393
"MZ515847.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8937-D04","ssRNA(-)",15277,"complete","United Kingdom",2018-12-17,"Human respiratory syncytial virus A isolate OX02-8937-D04, complete genome",2018,51,"2018/2019","A","A.D.1","GA2.3.5","2018/51",2018.95890410959
"MZ515848.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8111-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-08,"Human respiratory syncytial virus A isolate OX02-8111-V01, complete genome",2018,45,"2018/2019","A","A.D.1","GA2.3.5","2018/45",2018.85205479452
"MZ515850.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8908-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus A isolate OX02-8908-V01, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/48",2018.91232876712
"MZ515851.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0064-V02","ssRNA(-)",15286,"complete","Spain",2018-11-28,"Human respiratory syncytial virus A isolate SE01A-0064-V02, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/48",2018.90684931507
"MZ515852.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0151-V01","ssRNA(-)",15278,"complete","Netherlands",2019-11-13,"Human respiratory syncytial virus A isolate UU02-0151-V01, complete genome",2019,46,"2019/2020","A","A.D.2.2","GA2.3.5","2019/46",2019.86575342466
"MZ515853.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-D03","ssRNA(-)",15279,"complete","United Kingdom",2018-10-24,"Human respiratory syncytial virus A isolate OX02-8663-D03, complete genome",2018,43,"2018/2019","A","A.D","GA2.3.5","2018/43",2018.81095890411
"MZ515854.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9775-V01","ssRNA(-)",15279,"complete","United Kingdom",2019-12-24,"Human respiratory syncytial virus A isolate OX02-9775-V01, complete genome",2019,52,"2019/2020","A","A.D.3","GA2.3.5","2019/52",2019.97808219178
"MZ515858.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9450-D02","ssRNA(-)",15271,"partial","United Kingdom",2019-12-31,"Human respiratory syncytial virus A isolate OX02-9450-D02, partial genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2019.99726027397
"MZ515859.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0213-V01","ssRNA(-)",15273,"complete","Netherlands",2019-12-14,"Human respiratory syncytial virus A isolate UU02-0213-V01, complete genome",2019,50,"2019/2020","A","A.D.2.1","GA2.3.5","2019/50",2019.95068493151
"MZ515860.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0146-V02","ssRNA(-)",15276,"complete","Spain",2019-11-25,"Human respiratory syncytial virus A isolate SE01A-0146-V02, complete genome",2019,48,"2019/2020","A","A.D.1","GA2.3.5","2019/48",2019.89863013699
"MZ515861.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-D02","ssRNA(-)",15278,"complete","United Kingdom",2018-12-02,"Human respiratory syncytial virus A isolate OX02-8554-D02, complete genome",2018,49,"2018/2019","A","A.D","GA2.3.5","2018/49",2018.91780821918
"MZ515862.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0040-V01","ssRNA(-)",15269,"complete","Netherlands",2018-01-16,"Human respiratory syncytial virus A isolate UU02-0040-V01, complete genome",2018,3,"2017/2018","A","A.D","GA2.3.5","2018/03",2018.04109589041
"MZ515864.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8260-D03","ssRNA(-)",15275,"complete","United Kingdom",2019-11-10,"Human respiratory syncytial virus A isolate OX02-8260-D03, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5","2019/46",2019.85753424658
"MZ515866.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0055-V01","ssRNA(-)",15269,"complete","Netherlands",2018-11-20,"Human respiratory syncytial virus A isolate UU02-0055-V01, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5","2018/47",2018.88493150685
"MZ515867.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0023-D05","ssRNA(-)",15247,"partial","Spain",2020-01-07,"Human respiratory syncytial virus A isolate SE02-0023-D05, partial genome",2020,2,"2019/2020","A","A.D.3","GA2.3.5","2020/02",2020.01639344262
"MZ515870.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-D04","ssRNA(-)",15276,"complete","United Kingdom",2018-10-25,"Human respiratory syncytial virus A isolate OX02-8663-D04, complete genome",2018,43,"2018/2019","A","A.D","GA2.3.5","2018/43",2018.81369863014
"MZ515873.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0002-D04","ssRNA(-)",15275,"complete","Spain",2018-12-27,"Human respiratory syncytial virus A isolate SE02-0002-D04, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5","2018/52",2018.98630136986
"MZ515874.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8390-D03","ssRNA(-)",14974,"partial","United Kingdom",2018-11-16,"Human respiratory syncytial virus A isolate OX02-8390-D03, partial genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5","2018/46",2018.87397260274
"MZ515875.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0208-V01","ssRNA(-)",15281,"partial","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU02-0208-V01, partial genome",2019,50,"2019/2020","A","A.D.5","GA2.3.5","2019/50",2019.94246575342
"MZ515876.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8377-V01","ssRNA(-)",14959,"partial","United Kingdom",2018-11-23,"Human respiratory syncytial virus A isolate OX02-8377-V01, partial genome",2018,47,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/47",2018.89315068493
"MZ515877.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0086-V02","ssRNA(-)",15276,"complete","Netherlands",2019-12-12,"Human respiratory syncytial virus A isolate UU01A-0086-V02, complete genome",2019,50,"2019/2020","A","A.D.2.1","GA2.3.5","2019/50",2019.94520547945
"MZ515878.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0137-V02","ssRNA(-)",15279,"complete","Spain",2019-12-11,"Human respiratory syncytial virus A isolate SE01A-0137-V02, complete genome",2019,50,"2019/2020","A","A.D.1","GA2.3.5","2019/50",2019.94246575342
"MZ515879.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9657-D02","ssRNA(-)",15295,"partial","United Kingdom",2020-02-14,"Human respiratory syncytial virus A isolate OX02-9657-D02, partial genome",2020,7,"2019/2020","A","A.D.1","GA2.3.5","2020/07",2020.12021857923
"MZ515880.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8513-D03","ssRNA(-)",15272,"complete","United Kingdom",2018-11-15,"Human respiratory syncytial virus A isolate OX02-8513-D03, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5","2018/46",2018.87123287671
"MZ515881.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0022-D03","ssRNA(-)",15234,"partial","Spain",2020-01-01,"Human respiratory syncytial virus A isolate SE02-0022-D03, partial genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5","2020/01",2020
"MZ515882.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0005-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-26,"Human respiratory syncytial virus A isolate IM02-0005-V01, complete genome",2018,48,"2018/2019","A","A.D.3","GA2.3.5","2018/48",2018.90136986301
"MZ515884.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0144-V02","ssRNA(-)",15276,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU01A-0144-V02, complete genome",2019,50,"2019/2020","A","A.D.5","GA2.3.5","2019/50",2019.94246575342
"MZ515885.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0101-D03","ssRNA(-)",15234,"partial","Spain",2019-12-01,"Human respiratory syncytial virus A isolate SE02-0101-D03, partial genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5","2019/49",2019.91506849315
"MZ515887.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0077-V02","ssRNA(-)",15283,"complete","Spain",2019-01-02,"Human respiratory syncytial virus A isolate SE01A-0077-V02, complete genome",2019,1,"2018/2019","A","A.D.2.2.1","GA2.3.5","2019/01",2019.00273972603
"MZ515888.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0155-D08","ssRNA(-)",15283,"complete","Netherlands",2019-12-18,"Human respiratory syncytial virus A isolate UU02-0155-D08, complete genome",2019,51,"2019/2020","A","A.D","GA2.3.5","2019/51",2019.96164383562
"MZ515891.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8234-D03","ssRNA(-)",15279,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus A isolate OX02-8234-D03, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5","2018/47",2018.88767123288
"MZ515896.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0139-V02","ssRNA(-)",15235,"partial","Spain",2019-12-23,"Human respiratory syncytial virus A isolate SE01A-0139-V02, partial genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5","2019/52",2019.97534246575
"MZ515897.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-D03","ssRNA(-)",15291,"partial","United Kingdom",2018-12-03,"Human respiratory syncytial virus A isolate OX02-8554-D03, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5","2018/49",2018.92054794521
"MZ515898.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0128-V02","ssRNA(-)",15273,"complete","Netherlands",2019-12-05,"Human respiratory syncytial virus A isolate UU01A-0128-V02, complete genome",2019,49,"2019/2020","A","A.D.2.1","GA2.3.5","2019/49",2019.92602739726
"MZ515901.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0150-V02","ssRNA(-)",15277,"complete","Netherlands",2019-12-24,"Human respiratory syncytial virus A isolate UU01A-0150-V02, complete genome",2019,52,"2019/2020","A","A.D.2.1","GA2.3.5","2019/52",2019.97808219178
"MZ515902.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0069-V02","ssRNA(-)",15280,"complete","Spain",2018-12-19,"Human respiratory syncytial virus A isolate SE01A-0069-V02, complete genome",2018,51,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/51",2018.96438356164
"MZ515905.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8105-V02","ssRNA(-)",15274,"complete","United Kingdom",2018-11-05,"Human respiratory syncytial virus A isolate OX01A-8105-V02, complete genome",2018,45,"2018/2019","A","A.D.2.2","GA2.3.5","2018/45",2018.84383561644
"MZ515906.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0164-D02","ssRNA(-)",15273,"partial","Netherlands",2019-12-31,"Human respiratory syncytial virus A isolate UU02-0164-D02, partial genome",2020,1,"2019/2020","A","A.D.5","GA2.3.5","2020/01",2019.99726027397
"MZ515907.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8756-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-10-28,"Human respiratory syncytial virus A isolate OX02-8756-V01, complete genome",2019,44,"2019/2020","A","A.D.1","GA2.3.5","2019/44",2019.82191780822
"MZ515908.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8608-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8608-V01, complete genome",2018,47,"2018/2019","A","A.D.1","GA2.3.5","2018/47",2018.88493150685
"MZ515909.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8497-V01","ssRNA(-)",15273,"complete","United Kingdom",2018-12-18,"Human respiratory syncytial virus A isolate OX02-8497-V01, complete genome",2018,51,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/51",2018.96164383562
"MZ515910.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8299-V01","ssRNA(-)",15280,"complete","United Kingdom",2019-11-13,"Human respiratory syncytial virus A isolate OX02-8299-V01, complete genome",2019,46,"2019/2020","A","A.D.3","GA2.3.5","2019/46",2019.86575342466
"MZ515911.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8917-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-11-12,"Human respiratory syncytial virus A isolate OX02-8917-V01, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5","2019/46",2019.86301369863
"MZ515912.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0205-V02","ssRNA(-)",15282,"partial","Spain",2020-01-20,"Human respiratory syncytial virus A isolate SE01A-0205-V02, partial genome",2020,4,"2019/2020","A","A.D.1","GA2.3.5","2020/04",2020.05191256831
"MZ515913.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0092-V02","ssRNA(-)",15273,"complete","Netherlands",2019-11-25,"Human respiratory syncytial virus A isolate UU01A-0092-V02, complete genome",2019,48,"2019/2020","A","A.D","GA2.3.5","2019/48",2019.89863013699
"MZ515915.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8168-D08","ssRNA(-)",15151,"partial","United Kingdom",2018-01-18,"Human respiratory syncytial virus A isolate OX02-8168-D08, partial genome",2018,3,"2017/2018","A","A.D.1","GA2.3.5","2018/03",2018.04657534247
"MZ515920.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0006-D07","ssRNA(-)",15211,"partial","Spain",2019-01-16,"Human respiratory syncytial virus A isolate SE02-0006-D07, partial genome",2019,3,"2018/2019","A","A.D.2.2.1","GA2.3.5","2019/03",2019.04109589041
"MZ515921.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8437-V01","ssRNA(-)",15273,"complete","United Kingdom",2018-12-13,"Human respiratory syncytial virus A isolate OX02-8437-V01, complete genome",2018,50,"2018/2019","A","A.D.2.2.1","GA2.3.5","2018/50",2018.94794520548
"MZ515922.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-D02","ssRNA(-)",15279,"complete","United Kingdom",2018-10-23,"Human respiratory syncytial virus A isolate OX02-8663-D02, complete genome",2018,43,"2018/2019","A","A.D","GA2.3.5","2018/43",2018.80821917808
"MZ515923.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8438-V02","ssRNA(-)",15280,"complete","United Kingdom",2019-11-14,"Human respiratory syncytial virus A isolate OX01A-8438-V02, complete genome",2019,46,"2019/2020","A","A.D.3","GA2.3.5","2019/46",2019.86849315069
"MZ515927.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8234-D02","ssRNA(-)",15279,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8234-D02, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5","2018/47",2018.88493150685
"MZ515928.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8459-V02","ssRNA(-)",15279,"complete","United Kingdom",2019-12-09,"Human respiratory syncytial virus A isolate OX01A-8459-V02, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5","2019/50",2019.93698630137
"MZ515929.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8371-V01","ssRNA(-)",15277,"complete","United Kingdom",2018-12-13,"Human respiratory syncytial virus A isolate OX02-8371-V01, complete genome",2018,50,"2018/2019","A","A.D.1","GA2.3.5","2018/50",2018.94794520548
"MZ515931.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0159-V01","ssRNA(-)",15279,"complete","Netherlands",2019-12-23,"Human respiratory syncytial virus A isolate UU02-0159-V01, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5","2019/52",2019.97534246575
"MZ515933.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8937-D02","ssRNA(-)",15277,"complete","United Kingdom",2018-12-15,"Human respiratory syncytial virus A isolate OX02-8937-D02, complete genome",2018,50,"2018/2019","A","A.D.1","GA2.3.5","2018/50",2018.95342465753
"MZ515939.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0016-V01","ssRNA(-)",15273,"complete","Netherlands",2017-12-14,"Human respiratory syncytial virus A isolate UU02-0016-V01, complete genome",2017,50,"2017/2018","A","A.D.2.2","GA2.3.5","2017/50",2017.95068493151
"MZ515940.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0108-V02","ssRNA(-)",15276,"complete","Spain",2019-12-19,"Human respiratory syncytial virus A isolate SE01A-0108-V02, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5","2019/51",2019.96438356164
"MZ515941.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0163-V02","ssRNA(-)",15277,"complete","Spain",2019-12-09,"Human respiratory syncytial virus A isolate SE01A-0163-V02, complete genome",2019,50,"2019/2020","A","A.D.1","GA2.3.5","2019/50",2019.93698630137
"MZ515942.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9801-V01","ssRNA(-)",15279,"complete","United Kingdom",2019-12-13,"Human respiratory syncytial virus A isolate OX02-9801-V01, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5","2019/50",2019.94794520548
"MZ515943.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0045-V02","ssRNA(-)",15272,"complete","Spain",2018-12-26,"Human respiratory syncytial virus A isolate SE01A-0045-V02, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5","2018/52",2018.98356164384
