"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title"
"PP377267.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101038","ssRNA(-)",15222,"complete","Spain",2017-12-18,"Human respiratory syncytial virus B isolate 340101038, complete genome"
"PP377269.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102005","ssRNA(-)",15222,"complete","Finland",2019-02-18,"Human respiratory syncytial virus B isolate 358102005, complete genome"
"PP377271.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102022","ssRNA(-)",15223,"complete","Finland",2019-04-18,"Human respiratory syncytial virus B isolate 358102022, complete genome"
"PP377275.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103018","ssRNA(-)",15223,"complete","France",2019-11-19,"Human respiratory syncytial virus B isolate 330103018, complete genome"
"PP377276.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103015","ssRNA(-)",15222,"complete","France",2019-11-19,"Human respiratory syncytial virus B isolate 330103015, complete genome"
"PP377277.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102034","ssRNA(-)",15222,"complete","Netherlands",2018-12-19,"Human respiratory syncytial virus B isolate 310102034, complete genome"
"PP377278.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101034","ssRNA(-)",15221,"complete","Finland",2018-02-19,"Human respiratory syncytial virus B isolate 358101034, complete genome"
"PP377279.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102043","ssRNA(-)",15222,"complete","Spain",2019-02-19,"Human respiratory syncytial virus B isolate 340102043, complete genome"
"PP377287.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101047","ssRNA(-)",15223,"complete","Netherlands",2018-01-02,"Human respiratory syncytial virus B isolate 310101047, complete genome"
"PP377288.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101042","ssRNA(-)",15223,"complete","Spain",2018-01-02,"Human respiratory syncytial virus B isolate 340101042, complete genome"
"PP377291.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101020","ssRNA(-)",15222,"complete","Spain",2017-12-02,"Human respiratory syncytial virus B isolate 340101020, complete genome"
"PP377292.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101027","ssRNA(-)",15223,"complete","Finland",2018-02-02,"Human respiratory syncytial virus B isolate 358101027, complete genome"
"PP377293.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103013","ssRNA(-)",15223,"complete","Finland",2020-02-02,"Human respiratory syncytial virus B isolate 358103013, complete genome"
"PP377296.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103038","ssRNA(-)",15181,"complete","Russia",2020-03-02,"Human respiratory syncytial virus B isolate 070103038, complete genome"
"PP377304.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101031","ssRNA(-)",15222,"complete","Netherlands",2017-12-20,"Human respiratory syncytial virus B isolate 310101031, complete genome"
"PP377305.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330102003","ssRNA(-)",15222,"complete","France",2018-12-20,"Human respiratory syncytial virus B isolate 330102003, complete genome"
"PP377306.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102034","ssRNA(-)",15223,"complete","United Kingdom",2018-12-20,"Human respiratory syncytial virus B isolate 440102034, complete genome"
"PP377307.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330103037","ssRNA(-)",15223,"complete","France",2019-12-20,"Human respiratory syncytial virus B isolate 330103037, complete genome"
"PP377308.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101073","ssRNA(-)",15223,"complete","Netherlands",2018-02-20,"Human respiratory syncytial virus B isolate 310101073, complete genome"
"PP377319.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103007","ssRNA(-)",15222,"complete","Russia",2020-01-21,"Human respiratory syncytial virus B isolate 070103007, complete genome"
"PP377320.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102013","ssRNA(-)",15222,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus B isolate 440102013, complete genome"
"PP377321.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330102005","ssRNA(-)",15223,"complete","France",2018-12-21,"Human respiratory syncytial virus B isolate 330102005, complete genome"
"PP377322.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103038","ssRNA(-)",15223,"complete","Finland",2020-02-21,"Human respiratory syncytial virus B isolate 358103038, complete genome"
"PP377328.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101004","ssRNA(-)",15222,"complete","Finland",2017-12-22,"Human respiratory syncytial virus B isolate 358101004, complete genome"
"PP377330.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102026","ssRNA(-)",15223,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102026, complete genome"
"PP377331.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102025","ssRNA(-)",15221,"complete","Germany",2019-02-22,"Human respiratory syncytial virus B isolate 490102025, complete genome"
"PP377332.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102014","ssRNA(-)",15221,"complete","Finland",2019-03-22,"Human respiratory syncytial virus B isolate 358102014, complete genome"
"PP377335.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101018","ssRNA(-)",15222,"complete","Finland",2018-01-23,"Human respiratory syncytial virus B isolate 358101018, complete genome"
"PP377336.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102010","ssRNA(-)",15222,"complete","Germany",2019-01-23,"Human respiratory syncytial virus B isolate 490102010, complete genome"
"PP377337.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101037","ssRNA(-)",15223,"complete","Netherlands",2017-12-23,"Human respiratory syncytial virus B isolate 310101037, complete genome"
"PP377341.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101010","ssRNA(-)",15223,"complete","Spain",2017-11-24,"Human respiratory syncytial virus B isolate 340101010, complete genome"
"PP377345.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103048","ssRNA(-)",15225,"complete","Russia",2020-03-24,"Human respiratory syncytial virus B isolate 070103048, complete genome"
"PP377349.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101021","ssRNA(-)",15222,"complete","Finland",2018-01-25,"Human respiratory syncytial virus B isolate 358101021, complete genome"
"PP377351.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102030","ssRNA(-)",15222,"complete","Spain",2019-01-25,"Human respiratory syncytial virus B isolate 340102030, complete genome"
"PP377352.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101038","ssRNA(-)",15223,"complete","Netherlands",2017-12-25,"Human respiratory syncytial virus B isolate 310101038, complete genome"
"PP377353.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102045","ssRNA(-)",15223,"complete","Spain",2019-02-25,"Human respiratory syncytial virus B isolate 340102045, complete genome"
"PP377355.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102050","ssRNA(-)",15222,"complete","Spain",2019-03-25,"Human respiratory syncytial virus B isolate 340102050, complete genome"
"PP377362.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103005","ssRNA(-)",15223,"complete","Spain",2019-11-26,"Human respiratory syncytial virus B isolate 340103005, complete genome"
"PP377363.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","330102007","ssRNA(-)",15222,"complete","France",2018-12-26,"Human respiratory syncytial virus B isolate 330102007, complete genome"
"PP377364.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103021","ssRNA(-)",15222,"complete","Spain",2019-12-26,"Human respiratory syncytial virus B isolate 340103021, complete genome"
"PP377367.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103043","ssRNA(-)",15223,"complete","Finland",2020-02-26,"Human respiratory syncytial virus B isolate 358103043, complete genome"
"PP377372.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102052","ssRNA(-)",15222,"complete","Netherlands",2019-02-27,"Human respiratory syncytial virus B isolate 310102052, complete genome"
"PP377374.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103011","ssRNA(-)",15178,"complete","Russia",2020-01-27,"Human respiratory syncytial virus B isolate 070103011, complete genome"
"PP377375.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101012","ssRNA(-)",14710,"complete","Spain",2017-11-27,"Human respiratory syncytial virus B isolate 340101012, complete genome"
"PP377376.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440103032","ssRNA(-)",15222,"complete","United Kingdom",2019-11-27,"Human respiratory syncytial virus B isolate 440103032, complete genome"
"PP377377.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101007","ssRNA(-)",15223,"complete","Finland",2017-12-27,"Human respiratory syncytial virus B isolate 358101007, complete genome"
"PP377378.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101041","ssRNA(-)",15079,"complete","Netherlands",2017-12-27,"Human respiratory syncytial virus B isolate 310101041, complete genome"
"PP377379.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101048","ssRNA(-)",15223,"complete","Spain",2018-02-27,"Human respiratory syncytial virus B isolate 340101048, complete genome"
"PP377380.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101049","ssRNA(-)",15222,"complete","Spain",2018-02-27,"Human respiratory syncytial virus B isolate 340101049, complete genome"
"PP377389.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103013","ssRNA(-)",15180,"complete","Russia",2020-01-28,"Human respiratory syncytial virus B isolate 070103013, complete genome"
"PP377390.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102018","ssRNA(-)",15224,"complete","United Kingdom",2018-11-28,"Human respiratory syncytial virus B isolate 440102018, complete genome"
"PP377391.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102016","ssRNA(-)",15222,"complete","Finland",2019-03-28,"Human respiratory syncytial virus B isolate 358102016, complete genome"
"PP377395.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103010","ssRNA(-)",15222,"complete","Finland",2020-01-29,"Human respiratory syncytial virus B isolate 358103010, complete genome"
"PP377397.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102013","ssRNA(-)",15231,"complete","Spain",2018-12-29,"Human respiratory syncytial virus B isolate 340102013, complete genome"
"PP377401.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102012","ssRNA(-)",15222,"complete","Netherlands",2018-12-03,"Human respiratory syncytial virus B isolate 310102012, complete genome"
"PP377402.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101039","ssRNA(-)",15222,"complete","Finland",2018-03-03,"Human respiratory syncytial virus B isolate 358101039, complete genome"
"PP377406.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102025","ssRNA(-)",15223,"complete","Finland",2019-05-03,"Human respiratory syncytial virus B isolate 358102025, complete genome"
"PP377412.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102006","ssRNA(-)",15222,"complete","United Kingdom",2018-10-30,"Human respiratory syncytial virus B isolate 440102006, complete genome"
"PP377413.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101017","ssRNA(-)",15223,"complete","Spain",2017-11-30,"Human respiratory syncytial virus B isolate 340101017, complete genome"
"PP377414.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102009","ssRNA(-)",15223,"complete","Netherlands",2018-11-30,"Human respiratory syncytial virus B isolate 310102009, complete genome"
"PP377415.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102025","ssRNA(-)",15222,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus B isolate 440102025, complete genome"
"PP377417.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102014","ssRNA(-)",15222,"complete","Spain",2018-12-30,"Human respiratory syncytial virus B isolate 340102014, complete genome"
"PP377424.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102014","ssRNA(-)",15224,"complete","Germany",2019-01-31,"Human respiratory syncytial virus B isolate 490102014, complete genome"
"PP377425.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101045","ssRNA(-)",15221,"complete","Netherlands",2017-12-31,"Human respiratory syncytial virus B isolate 310101045, complete genome"
"PP377429.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","390103010","ssRNA(-)",15223,"complete","Italy",2020-01-04,"Human respiratory syncytial virus B isolate 390103010, complete genome"
"PP377431.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102013","ssRNA(-)",15222,"complete","Netherlands",2018-12-04,"Human respiratory syncytial virus B isolate 310102013, complete genome"
"PP377434.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102001","ssRNA(-)",15222,"complete","Finland",2019-02-04,"Human respiratory syncytial virus B isolate 358102001, complete genome"
"PP377435.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103032","ssRNA(-)",15223,"complete","Spain",2020-02-04,"Human respiratory syncytial virus B isolate 340103032, complete genome"
"PP377436.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103018","ssRNA(-)",15180,"complete","Russia",2020-02-04,"Human respiratory syncytial virus B isolate 070103018, complete genome"
"PP377447.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103001","ssRNA(-)",15179,"complete","Russia",2019-11-05,"Human respiratory syncytial virus B isolate 070103001, complete genome"
"PP377448.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","490102017","ssRNA(-)",15222,"complete","Germany",2019-02-05,"Human respiratory syncytial virus B isolate 490102017, complete genome"
"PP377449.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103020","ssRNA(-)",15178,"complete","Russia",2020-02-05,"Human respiratory syncytial virus B isolate 070103020, complete genome"
"PP377456.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102016","ssRNA(-)",15223,"complete","Netherlands",2018-12-06,"Human respiratory syncytial virus B isolate 310102016, complete genome"
"PP377457.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103021","ssRNA(-)",15223,"complete","Finland",2020-02-06,"Human respiratory syncytial virus B isolate 358103021, complete genome"
"PP377458.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101050","ssRNA(-)",15222,"complete","Spain",2018-03-06,"Human respiratory syncytial virus B isolate 340101050, complete genome"
"PP377464.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310101055","ssRNA(-)",15222,"complete","Netherlands",2018-01-07,"Human respiratory syncytial virus B isolate 310101055, complete genome"
"PP377467.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440102001","ssRNA(-)",15223,"complete","United Kingdom",2018-10-07,"Human respiratory syncytial virus B isolate 440102001, complete genome"
"PP377468.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101025","ssRNA(-)",15222,"complete","Spain",2017-12-07,"Human respiratory syncytial virus B isolate 340101025, complete genome"
"PP377469.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102002","ssRNA(-)",15222,"complete","Finland",2019-02-07,"Human respiratory syncytial virus B isolate 358102002, complete genome"
"PP377471.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102009","ssRNA(-)",15222,"complete","Finland",2019-03-07,"Human respiratory syncytial virus B isolate 358102009, complete genome"
"PP377478.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101027","ssRNA(-)",15223,"complete","Spain",2017-12-08,"Human respiratory syncytial virus B isolate 340101027, complete genome"
"PP377479.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102038","ssRNA(-)",15223,"complete","Spain",2019-02-08,"Human respiratory syncytial virus B isolate 340102038, complete genome"
"PP377480.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358103023","ssRNA(-)",15223,"complete","Finland",2020-02-08,"Human respiratory syncytial virus B isolate 358103023, complete genome"
"PP377481.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358102019","ssRNA(-)",15223,"complete","Finland",2019-04-08,"Human respiratory syncytial virus B isolate 358102019, complete genome"
"PP377484.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340101043","ssRNA(-)",15223,"complete","Spain",2018-01-09,"Human respiratory syncytial virus B isolate 340101043, complete genome"
"PP377487.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","358101029","ssRNA(-)",15223,"complete","Finland",2018-02-09,"Human respiratory syncytial virus B isolate 358101029, complete genome"
"PP377488.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","390103015","ssRNA(-)",15180,"complete","Italy",2020-02-09,"Human respiratory syncytial virus B isolate 390103015, complete genome"
"PP377495.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102053","ssRNA(-)",15223,"complete","Netherlands",2019-03-01,"UNVERIFIED: Human respiratory syncytial virus B isolate 310102053, complete genome"
"PP377496.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102021","ssRNA(-)",15221,"complete","Spain",2019-01-14,"UNVERIFIED: Human respiratory syncytial virus B isolate 340102021, complete genome"
"PP377497.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","440105051","ssRNA(-)",15224,"complete","United Kingdom",2018-02-19,"UNVERIFIED: Human respiratory syncytial virus B isolate 440105051, complete genome"
"PP377498.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340102009","ssRNA(-)",15232,"complete","Spain",2018-12-26,"UNVERIFIED: Human respiratory syncytial virus B isolate 340102009, complete genome"
"PP377499.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","340103031","ssRNA(-)",15179,"complete","Spain",2020-02-04,"UNVERIFIED: Human respiratory syncytial virus B isolate 340103031, complete genome"
"PP377501.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102030","ssRNA(-)",15223,"complete","Netherlands",2018-12-17,"UNVERIFIED: Human respiratory syncytial virus B isolate 310102030, complete genome"
"PP377503.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102006","ssRNA(-)",15223,"complete","Netherlands",2018-11-22,"UNVERIFIED: Human respiratory syncytial virus B isolate 310102006, complete genome"
"PP377505.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","310102041","ssRNA(-)",15223,"complete","Netherlands",2018-12-27,"UNVERIFIED: Human respiratory syncytial virus B isolate 310102041, complete genome"
"PP377507.1","Human respiratory syncytial virus B","UMC Utrecht, Paediatric Infectious Diseases","Netherlands","70103017","ssRNA(-)",15181,"complete","Russia",2020-02-04,"UNVERIFIED: Human respiratory syncytial virus B isolate 070103017, complete genome"
"MZ568932.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/316/16-17","ssRNA(-)",15242,"complete","Germany",2016-10-31,"Human respiratory syncytial virus B isolate GER/316/16-17, complete genome"
"MZ568937.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/416/16-17","ssRNA(-)",15141,"complete","Germany",2016-11-07,"Human respiratory syncytial virus B isolate GER/416/16-17, complete genome"
"MZ568949.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/987/15-16","ssRNA(-)",15135,"complete","Germany",2015-12-28,"Human respiratory syncytial virus B isolate GER/987/15-16, complete genome"
"MZ568951.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1122/15-16","ssRNA(-)",15142,"complete","Germany",2016-01-11,"Human respiratory syncytial virus B isolate GER/1122/15-16, complete genome"
"MZ568957.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1324/17-18","ssRNA(-)",15131,"complete","Germany",2017-12-21,"Human respiratory syncytial virus B isolate GER/1324/17-18, complete genome"
"MZ568959.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1626/18-19","ssRNA(-)",15138,"complete","Germany",2019-01-17,"Human respiratory syncytial virus B isolate GER/1626/18-19, complete genome"
"MZ568960.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1666/18-19","ssRNA(-)",15240,"complete","Germany",2019-01-23,"Human respiratory syncytial virus B isolate GER/1666/18-19, complete genome"
"MZ568961.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1793/18-19","ssRNA(-)",15172,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate GER/1793/18-19, complete genome"
"MZ568962.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1847/14-15","ssRNA(-)",14895,"partial","Germany",2015-01-20,"Human respiratory syncytial virus B isolate GER/1847/14-15, partial genome"
"MZ568964.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1876/18-19","ssRNA(-)",15136,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate GER/1876/18-19, complete genome"
"MZ568965.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1912/16-17","ssRNA(-)",15241,"complete","Germany",2017-01-13,"Human respiratory syncytial virus B isolate GER/1912/16-17, complete genome"
"MZ568966.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1922/14-15","ssRNA(-)",15144,"complete","Germany",2015-01-21,"Human respiratory syncytial virus B isolate GER/1922/14-15, complete genome"
"MZ568968.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/1994/15-16","ssRNA(-)",15019,"complete","Germany",2016-02-16,"Human respiratory syncytial virus B isolate GER/1994/15-16, complete genome"
"MZ568974.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/2249/17-18","ssRNA(-)",15242,"complete","Germany",2018-01-22,"Human respiratory syncytial virus B isolate GER/2249/17-18, complete genome"
"MZ568978.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/2421/16-17","ssRNA(-)",15158,"complete","Germany",2017-01-24,"Human respiratory syncytial virus B isolate GER/2421/16-17, complete genome"
"MZ568985.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/2689/14-15","ssRNA(-)",15130,"complete","Germany",2015-02-09,"Human respiratory syncytial virus B isolate GER/2689/14-15, complete genome"
"MZ568989.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/2876/14-15","ssRNA(-)",15120,"complete","Germany",2015-02-11,"Human respiratory syncytial virus B isolate GER/2876/14-15, complete genome"
"MZ568996.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/3371/14-15","ssRNA(-)",15132,"complete","Germany",2015-02-23,"Human respiratory syncytial virus B isolate GER/3371/14-15, complete genome"
"MZ568997.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/3406/15-16","ssRNA(-)",15207,"complete","Germany",2016-03-22,"Human respiratory syncytial virus B isolate GER/3406/15-16, complete genome"
"MZ569004.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/3775/14-15","ssRNA(-)",15117,"complete","Germany",2015-03-02,"Human respiratory syncytial virus B isolate GER/3775/14-15, complete genome"
"MZ569006.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/4120/14-15","ssRNA(-)",15134,"complete","Germany",2015-03-09,"Human respiratory syncytial virus B isolate GER/4120/14-15, complete genome"
"MZ569009.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/5946/17-18","ssRNA(-)",15246,"complete","Germany",2018-04-09,"Human respiratory syncytial virus B isolate GER/5946/17-18, complete genome"
"MZ569010.1","Human respiratory syncytial virus B","Robert Koch Insitut","","GER/6059/17-18","ssRNA(-)",15196,"complete","Germany",2018-04-20,"Human respiratory syncytial virus B isolate GER/6059/17-18, complete genome"
"OR795211.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-01402/2019","ssRNA(-)",15182,"complete","Germany",2019-01-11,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-01402/2019, complete genome"
"OR795212.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-01738/2019","ssRNA(-)",15203,"complete","Germany",2019-01-24,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-01738/2019, complete genome"
"OR795213.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-01837/2019","ssRNA(-)",15183,"complete","Germany",2019-01-25,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-01837/2019, complete genome"
"OR795214.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-01870/2019","ssRNA(-)",15061,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-01870/2019, complete genome"
"OR795215.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-01872/2019","ssRNA(-)",15078,"complete","Germany",2019-01-28,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-01872/2019, complete genome"
"OR795216.1","Human respiratory syncytial virus B","Robert Koch Institut","Germany","hRSV/B/Germany/19-02072/2019","ssRNA(-)",15199,"complete","Germany",2019-02-01,"Human respiratory syncytial virus B isolate hRSV/B/Germany/19-02072/2019, complete genome"
