"","Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","Collection_Year","Collection_Month","MMWRyear","MMWRweek","MMWRday","Collection_Season","Type"
"120","MZ515768.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8054-D02","ssRNA(-)",15181,"complete","United Kingdom",2018-11-23,"Human respiratory syncytial virus A isolate OX02-8054-D02, complete genome",2018,11,2018,47,6,"2018/2019","A"
"1242","MZ515769.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8830-V01","ssRNA(-)",15278,"complete","United Kingdom",2019-11-22,"Human respiratory syncytial virus B isolate OX02-8830-V01, complete genome",2019,11,2019,47,6,"2019/2020","B"
"1243","MZ515770.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0029-V01","ssRNA(-)",15271,"complete","Netherlands",2018-01-03,"Human respiratory syncytial virus B isolate UU02-0029-V01, complete genome",2018,1,2018,1,4,"2017/2018","B"
"1244","MZ515771.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0050-V01","ssRNA(-)",15276,"complete","Spain",2018-12-30,"Human respiratory syncytial virus B isolate SE02-0050-V01, complete genome",2018,12,2019,1,1,"2018/2019","B"
"121","MZ515772.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8937-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-12-14,"Human respiratory syncytial virus A isolate OX02-8937-V01, complete genome",2018,12,2018,50,6,"2018/2019","A"
"122","MZ515773.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0167-V02","ssRNA(-)",15281,"complete","Spain",2020-01-02,"Human respiratory syncytial virus A isolate SE01A-0167-V02, complete genome",2020,1,2020,1,5,"2019/2020","A"
"1245","MZ515774.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8128-D03","ssRNA(-)",14519,"partial","United Kingdom",2019-02-07,"Human respiratory syncytial virus B isolate OX02-8128-D03, partial genome",2019,2,2019,6,5,"2018/2019","B"
"1246","MZ515775.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8182-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-11-13,"Human respiratory syncytial virus B isolate OX02-8182-D02, complete genome",2018,11,2018,46,3,"2018/2019","B"
"1247","MZ515776.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0197-V02","ssRNA(-)",15273,"complete","Spain",2020-01-23,"Human respiratory syncytial virus B isolate SE01A-0197-V02, complete genome",2020,1,2020,4,5,"2019/2020","B"
"123","MZ515777.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0103-D02","ssRNA(-)",15276,"complete","Spain",2019-12-20,"Human respiratory syncytial virus A isolate SE02-0103-D02, complete genome",2019,12,2019,51,6,"2019/2020","A"
"1248","MZ515778.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8128-D02","ssRNA(-)",15276,"complete","United Kingdom",2019-02-06,"Human respiratory syncytial virus B isolate OX02-8128-D02, complete genome",2019,2,2019,6,4,"2018/2019","B"
"1249","MZ515779.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8313-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus B isolate OX02-8313-V01, complete genome",2018,11,2018,47,3,"2018/2019","B"
"124","MZ515780.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0164-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-30,"Human respiratory syncytial virus A isolate UU02-0164-V01, complete genome",2019,12,2020,1,2,"2019/2020","A"
"125","MZ515781.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-D05","ssRNA(-)",15283,"complete","Spain",2020-01-02,"Human respiratory syncytial virus A isolate SE02-0021-D05, complete genome",2020,1,2020,1,5,"2019/2020","A"
"126","MZ515782.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8635-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-12-20,"Human respiratory syncytial virus A isolate OX02-8635-V01, complete genome",2018,12,2018,51,5,"2018/2019","A"
"1250","MZ515783.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8915-D04","ssRNA(-)",15274,"partial","United Kingdom",2019-11-21,"Human respiratory syncytial virus B isolate OX02-8915-D04, partial genome",2019,11,2019,47,5,"2019/2020","B"
"127","MZ515784.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9216-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-12-03,"Human respiratory syncytial virus A isolate OX02-9216-V01, complete genome",2019,12,2019,49,3,"2019/2020","A"
"1251","MZ515785.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0031-V01","ssRNA(-)",15230,"partial","Netherlands",2018-01-05,"Human respiratory syncytial virus B isolate UU02-0031-V01, partial genome",2018,1,2018,1,6,"2017/2018","B"
"1252","MZ515786.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9397-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-12-24,"Human respiratory syncytial virus B isolate OX02-9397-V01, complete genome",2019,12,2019,52,3,"2019/2020","B"
"1253","MZ515787.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0039-D11","ssRNA(-)",15275,"partial","Netherlands",2018-01-25,"Human respiratory syncytial virus B isolate UU02-0039-D11, partial genome",2018,1,2018,4,5,"2017/2018","B"
"128","MZ515788.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8448-V01","ssRNA(-)",15235,"partial","United Kingdom",2018-11-22,"Human respiratory syncytial virus A isolate OX02-8448-V01, partial genome",2018,11,2018,47,5,"2018/2019","A"
"129","MZ515789.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0038-V01","ssRNA(-)",15274,"complete","Netherlands",2018-01-12,"Human respiratory syncytial virus A isolate UU02-0038-V01, complete genome",2018,1,2018,2,6,"2017/2018","A"
"130","MZ515790.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0202-V01","ssRNA(-)",15280,"complete","Netherlands",2019-11-21,"Human respiratory syncytial virus A isolate UU02-0202-V01, complete genome",2019,11,2019,47,5,"2019/2020","A"
"1254","MZ515791.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8221-D04","ssRNA(-)",15275,"complete","United Kingdom",2019-11-12,"Human respiratory syncytial virus B isolate OX02-8221-D04, complete genome",2019,11,2019,46,3,"2019/2020","B"
"1255","MZ515792.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0028-D09","ssRNA(-)",15236,"complete","Netherlands",2018-01-08,"Human respiratory syncytial virus B isolate UU02-0028-D09, complete genome",2018,1,2018,2,2,"2017/2018","B"
"1256","MZ515793.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0019-V01","ssRNA(-)",15277,"complete","Netherlands",2017-12-18,"Human respiratory syncytial virus B isolate UU02-0019-V01, complete genome",2017,12,2017,51,2,"2017/2018","B"
"1257","MZ515794.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0117-V02","ssRNA(-)",15274,"complete","Netherlands",2019-12-12,"Human respiratory syncytial virus B isolate UU01A-0117-V02, complete genome",2019,12,2019,50,5,"2019/2020","B"
"131","MZ515795.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8132-D02","ssRNA(-)",15279,"complete","United Kingdom",2018-12-06,"Human respiratory syncytial virus A isolate OX02-8132-D02, complete genome",2018,12,2018,49,5,"2018/2019","A"
"132","MZ515796.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0102-D02","ssRNA(-)",15294,"partial","Spain",2019-12-20,"Human respiratory syncytial virus A isolate SE02-0102-D02, partial genome",2019,12,2019,51,6,"2019/2020","A"
"133","MZ515797.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-D06","ssRNA(-)",15281,"complete","Spain",2020-01-03,"Human respiratory syncytial virus A isolate SE02-0021-D06, complete genome",2020,1,2020,1,6,"2019/2020","A"
"1258","MZ515798.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0044-D06","ssRNA(-)",15249,"partial","Netherlands",2018-01-31,"Human respiratory syncytial virus B isolate UU02-0044-D06, partial genome",2018,1,2018,5,4,"2017/2018","B"
"1259","MZ515799.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU03-0367-V02","ssRNA(-)",15276,"complete","Netherlands",2019-01-14,"Human respiratory syncytial virus B isolate UU03-0367-V02, complete genome",2019,1,2019,3,2,"2018/2019","B"
"134","MZ515800.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0006-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-12-17,"Human respiratory syncytial virus A isolate IM02-0006-V01, complete genome",2018,12,2018,51,2,"2018/2019","A"
"135","MZ515801.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0123-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-25,"Human respiratory syncytial virus A isolate UU01A-0123-V02, complete genome",2019,11,2019,48,2,"2019/2020","A"
"136","MZ515802.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9839-V01","ssRNA(-)",15271,"complete","United Kingdom",2019-12-03,"Human respiratory syncytial virus A isolate OX02-9839-V01, complete genome",2019,12,2019,49,3,"2019/2020","A"
"137","MZ515803.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0105-V02","ssRNA(-)",15276,"complete","Netherlands",2019-11-19,"Human respiratory syncytial virus A isolate UU01A-0105-V02, complete genome",2019,11,2019,47,3,"2019/2020","A"
"138","MZ515804.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-D02","ssRNA(-)",15286,"complete","Spain",2019-12-30,"Human respiratory syncytial virus A isolate SE02-0021-D02, complete genome",2019,12,2020,1,2,"2019/2020","A"
"1260","MZ515805.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0044-D04","ssRNA(-)",15274,"complete","Netherlands",2018-01-29,"Human respiratory syncytial virus B isolate UU02-0044-D04, complete genome",2018,1,2018,5,2,"2017/2018","B"
"1261","MZ515806.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0014-D04","ssRNA(-)",15248,"partial","Netherlands",2017-12-15,"Human respiratory syncytial virus B isolate UU02-0014-D04, partial genome",2017,12,2017,50,6,"2017/2018","B"
"1262","MZ515807.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8385-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-11-06,"Human respiratory syncytial virus B isolate OX02-8385-V01, complete genome",2018,11,2018,45,3,"2018/2019","B"
"1263","MZ515808.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0028-D11","ssRNA(-)",15037,"partial","Netherlands",2018-01-10,"Human respiratory syncytial virus B isolate UU02-0028-D11, partial genome",2018,1,2018,2,4,"2017/2018","B"
"1264","MZ515809.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8071-V02","ssRNA(-)",15276,"complete","United Kingdom",2018-12-06,"Human respiratory syncytial virus B isolate OX01A-8071-V02, complete genome",2018,12,2018,49,5,"2018/2019","B"
"139","MZ515810.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0102-D03","ssRNA(-)",15242,"partial","Spain",2019-12-21,"Human respiratory syncytial virus A isolate SE02-0102-D03, partial genome",2019,12,2019,51,7,"2019/2020","A"
"140","MZ515811.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8168-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-01-12,"Human respiratory syncytial virus A isolate OX02-8168-D02, complete genome",2018,1,2018,2,6,"2017/2018","A"
"1265","MZ515812.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8620-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-12-04,"Human respiratory syncytial virus B isolate OX02-8620-V01, complete genome",2018,12,2018,49,3,"2018/2019","B"
"1266","MZ515813.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0055-V02","ssRNA(-)",15271,"partial","Netherlands",2018-12-03,"Human respiratory syncytial virus B isolate UU01A-0055-V02, partial genome",2018,12,2018,49,2,"2018/2019","B"
"141","MZ515814.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0006-D03","ssRNA(-)",15273,"complete","United Kingdom",2018-12-19,"Human respiratory syncytial virus A isolate IM02-0006-D03, complete genome",2018,12,2018,51,4,"2018/2019","A"
"142","MZ515815.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0006-D02","ssRNA(-)",15273,"partial","United Kingdom",2018-12-18,"Human respiratory syncytial virus A isolate IM02-0006-D02, partial genome",2018,12,2018,51,3,"2018/2019","A"
"143","MZ515816.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0001-D06","ssRNA(-)",14811,"partial","Spain",2018-12-09,"Human respiratory syncytial virus A isolate SE02-0001-D06, partial genome",2018,12,2018,50,1,"2018/2019","A"
"1267","MZ515817.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0014-V01","ssRNA(-)",15275,"complete","Netherlands",2017-12-12,"Human respiratory syncytial virus B isolate UU02-0014-V01, complete genome",2017,12,2017,50,3,"2017/2018","B"
"1268","MZ515818.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0041-V01","ssRNA(-)",15229,"partial","Netherlands",2018-01-18,"Human respiratory syncytial virus B isolate UU02-0041-V01, partial genome",2018,1,2018,3,5,"2017/2018","B"
"144","MZ515819.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-V01","ssRNA(-)",15279,"complete","United Kingdom",2018-10-22,"Human respiratory syncytial virus A isolate OX02-8663-V01, complete genome",2018,10,2018,43,2,"2018/2019","A"
"1269","MZ515820.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8304-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-19,"Human respiratory syncytial virus B isolate OX02-8304-V01, complete genome",2018,11,2018,47,2,"2018/2019","B"
"145","MZ515821.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0167-V01","ssRNA(-)",15273,"complete","Netherlands",2020-01-20,"Human respiratory syncytial virus A isolate UU02-0167-V01, complete genome",2020,1,2020,4,2,"2019/2020","A"
"146","MZ515822.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8889-D02","ssRNA(-)",14992,"partial","United Kingdom",2018-11-28,"Human respiratory syncytial virus A isolate OX02-8889-D02, partial genome",2018,11,2018,48,4,"2018/2019","A"
"1270","MZ515823.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8903-D02","ssRNA(-)",15277,"complete","United Kingdom",2019-01-03,"Human respiratory syncytial virus B isolate OX02-8903-D02, complete genome",2019,1,2019,1,5,"2018/2019","B"
"1271","MZ515824.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0003-V01","ssRNA(-)",15232,"complete","United Kingdom",2018-11-23,"Human respiratory syncytial virus B isolate IM02-0003-V01, complete genome",2018,11,2018,47,6,"2018/2019","B"
"147","MZ515825.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0159-V02","ssRNA(-)",15272,"complete","Netherlands",2019-12-03,"Human respiratory syncytial virus A isolate UU01A-0159-V02, complete genome",2019,12,2019,49,3,"2019/2020","A"
"148","MZ515826.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0040-D04","ssRNA(-)",15235,"partial","Netherlands",2018-01-19,"Human respiratory syncytial virus A isolate UU02-0040-D04, partial genome",2018,1,2018,3,6,"2017/2018","A"
"1272","MZ515827.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0016-V01","ssRNA(-)",15275,"complete","Spain",2019-12-11,"Human respiratory syncytial virus B isolate SE02-0016-V01, complete genome",2019,12,2019,50,4,"2019/2020","B"
"149","MZ515828.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0090-V01","ssRNA(-)",15278,"complete","Netherlands",2018-12-20,"Human respiratory syncytial virus A isolate UU02-0090-V01, complete genome",2018,12,2018,51,5,"2018/2019","A"
"1273","MZ515829.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8349-V01","ssRNA(-)",15231,"partial","United Kingdom",2019-11-06,"Human respiratory syncytial virus B isolate OX02-8349-V01, partial genome",2019,11,2019,45,4,"2019/2020","B"
"1274","MZ515830.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8315-V02","ssRNA(-)",15275,"complete","United Kingdom",2019-12-09,"Human respiratory syncytial virus B isolate OX01A-8315-V02, complete genome",2019,12,2019,50,2,"2019/2020","B"
"1275","MZ515831.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0033-V01","ssRNA(-)",15276,"complete","Netherlands",2018-01-05,"Human respiratory syncytial virus B isolate UU02-0033-V01, complete genome",2018,1,2018,1,6,"2017/2018","B"
"1276","MZ515832.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8742-V02","ssRNA(-)",15234,"complete","United Kingdom",2018-12-05,"Human respiratory syncytial virus B isolate OX01A-8742-V02, complete genome",2018,12,2018,49,4,"2018/2019","B"
"150","MZ515833.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0049-V02","ssRNA(-)",15276,"complete","Netherlands",2018-12-10,"Human respiratory syncytial virus A isolate UU01A-0049-V02, complete genome",2018,12,2018,50,2,"2018/2019","A"
"151","MZ515834.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8639-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-21,"Human respiratory syncytial virus A isolate OX02-8639-V01, complete genome",2019,11,2019,47,5,"2019/2020","A"
"152","MZ515835.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0073-V01","ssRNA(-)",15275,"complete","Netherlands",2018-12-20,"Human respiratory syncytial virus A isolate UU02-0073-V01, complete genome",2018,12,2018,51,5,"2018/2019","A"
"1277","MZ515836.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0074-V01","ssRNA(-)",15272,"complete","Netherlands",2018-12-21,"Human respiratory syncytial virus B isolate UU02-0074-V01, complete genome",2018,12,2018,51,6,"2018/2019","B"
"1278","MZ515837.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8118-V02","ssRNA(-)",15276,"complete","United Kingdom",2019-11-13,"Human respiratory syncytial virus B isolate OX01A-8118-V02, complete genome",2019,11,2019,46,4,"2019/2020","B"
"1279","MZ515838.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8832-V01","ssRNA(-)",15272,"partial","United Kingdom",2018-10-29,"Human respiratory syncytial virus B isolate OX02-8832-V01, partial genome",2018,10,2018,44,2,"2018/2019","B"
"1280","MZ515839.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8725-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-25,"Human respiratory syncytial virus B isolate OX02-8725-V01, complete genome",2019,11,2019,48,2,"2019/2020","B"
"153","MZ515840.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0003-D02","ssRNA(-)",15282,"complete","Netherlands",2017-11-15,"Human respiratory syncytial virus A isolate UU02-0003-D02, complete genome",2017,11,2017,46,4,"2017/2018","A"
"154","MZ515841.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0154-V02","ssRNA(-)",15281,"complete","Netherlands",2019-12-04,"Human respiratory syncytial virus A isolate UU01A-0154-V02, complete genome",2019,12,2019,49,4,"2019/2020","A"
"155","MZ515842.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0172-V02","ssRNA(-)",15275,"complete","Spain",2020-01-10,"Human respiratory syncytial virus A isolate SE01A-0172-V02, complete genome",2020,1,2020,2,6,"2019/2020","A"
"1281","MZ515843.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0002-V01","ssRNA(-)",15272,"complete","Netherlands",2017-11-09,"Human respiratory syncytial virus B isolate UU02-0002-V01, complete genome",2017,11,2017,45,5,"2017/2018","B"
"1282","MZ515844.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8567-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-10-25,"Human respiratory syncytial virus B isolate OX02-8567-D02, complete genome",2018,10,2018,43,5,"2018/2019","B"
"1283","MZ515845.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0024-V02","ssRNA(-)",15273,"complete","Netherlands",2018-11-23,"Human respiratory syncytial virus B isolate UU01A-0024-V02, complete genome",2018,11,2018,47,6,"2018/2019","B"
"1284","MZ515846.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8796-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-26,"Human respiratory syncytial virus B isolate OX02-8796-V01, complete genome",2018,11,2018,48,2,"2018/2019","B"
"156","MZ515847.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8937-D04","ssRNA(-)",15277,"complete","United Kingdom",2018-12-17,"Human respiratory syncytial virus A isolate OX02-8937-D04, complete genome",2018,12,2018,51,2,"2018/2019","A"
"157","MZ515848.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8111-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-08,"Human respiratory syncytial virus A isolate OX02-8111-V01, complete genome",2018,11,2018,45,5,"2018/2019","A"
"1285","MZ515849.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0001-D02","ssRNA(-)",15276,"complete","Netherlands",2017-11-08,"Human respiratory syncytial virus B isolate UU02-0001-D02, complete genome",2017,11,2017,45,4,"2017/2018","B"
"158","MZ515850.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8908-V01","ssRNA(-)",15274,"complete","United Kingdom",2018-11-30,"Human respiratory syncytial virus A isolate OX02-8908-V01, complete genome",2018,11,2018,48,6,"2018/2019","A"
"159","MZ515851.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0064-V02","ssRNA(-)",15286,"complete","Spain",2018-11-28,"Human respiratory syncytial virus A isolate SE01A-0064-V02, complete genome",2018,11,2018,48,4,"2018/2019","A"
"160","MZ515852.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0151-V01","ssRNA(-)",15278,"complete","Netherlands",2019-11-13,"Human respiratory syncytial virus A isolate UU02-0151-V01, complete genome",2019,11,2019,46,4,"2019/2020","A"
"161","MZ515853.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-D03","ssRNA(-)",15279,"complete","United Kingdom",2018-10-24,"Human respiratory syncytial virus A isolate OX02-8663-D03, complete genome",2018,10,2018,43,4,"2018/2019","A"
"162","MZ515854.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9775-V01","ssRNA(-)",15279,"complete","United Kingdom",2019-12-24,"Human respiratory syncytial virus A isolate OX02-9775-V01, complete genome",2019,12,2019,52,3,"2019/2020","A"
"1286","MZ515855.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8053-V02","ssRNA(-)",15229,"partial","United Kingdom",2018-11-23,"Human respiratory syncytial virus B isolate OX01A-8053-V02, partial genome",2018,11,2018,47,6,"2018/2019","B"
"1287","MZ515856.1","Human respiratory syncytial virus B","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0005-D02","ssRNA(-)",15264,"partial","Spain",2019-01-05,"Human respiratory syncytial virus B isolate SE02-0005-D02, partial genome",2019,1,2019,1,7,"2018/2019","B"
