"Accession","Organism_Name","Organization","Org_location","Isolate","Molecule_type","Length","Nuc_Completeness","Country","Collection_Date","GenBank_Title","MMWRyear","MMWRweek","Collection_Season","Type","clade","G_clade"
"MZ515879.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9657-D02","ssRNA(-)",15295,"partial","United Kingdom",2020-02-14,"Human respiratory syncytial virus A isolate OX02-9657-D02, partial genome",2020,7,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515880.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8513-D03","ssRNA(-)",15272,"complete","United Kingdom",2018-11-15,"Human respiratory syncytial virus A isolate OX02-8513-D03, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515881.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0022-D03","ssRNA(-)",15234,"partial","Spain",2020-01-01,"Human respiratory syncytial virus A isolate SE02-0022-D03, partial genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515882.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","IM02-0005-V01","ssRNA(-)",15280,"complete","United Kingdom",2018-11-26,"Human respiratory syncytial virus A isolate IM02-0005-V01, complete genome",2018,48,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515884.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0144-V02","ssRNA(-)",15276,"complete","Netherlands",2019-12-11,"Human respiratory syncytial virus A isolate UU01A-0144-V02, complete genome",2019,50,"2019/2020","A","A.D.5","GA2.3.5"
"MZ515885.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0101-D03","ssRNA(-)",15234,"partial","Spain",2019-12-01,"Human respiratory syncytial virus A isolate SE02-0101-D03, partial genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515887.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0077-V02","ssRNA(-)",15283,"complete","Spain",2019-01-02,"Human respiratory syncytial virus A isolate SE01A-0077-V02, complete genome",2019,1,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515888.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0155-D08","ssRNA(-)",15283,"complete","Netherlands",2019-12-18,"Human respiratory syncytial virus A isolate UU02-0155-D08, complete genome",2019,51,"2019/2020","A","A.D","GA2.3.5"
"MZ515891.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8234-D03","ssRNA(-)",15279,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus A isolate OX02-8234-D03, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5"
"MZ515896.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0139-V02","ssRNA(-)",15235,"partial","Spain",2019-12-23,"Human respiratory syncytial virus A isolate SE01A-0139-V02, partial genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515897.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8554-D03","ssRNA(-)",15291,"partial","United Kingdom",2018-12-03,"Human respiratory syncytial virus A isolate OX02-8554-D03, partial genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515898.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0128-V02","ssRNA(-)",15273,"complete","Netherlands",2019-12-05,"Human respiratory syncytial virus A isolate UU01A-0128-V02, complete genome",2019,49,"2019/2020","A","A.D.2.1","GA2.3.5"
"MZ515901.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0150-V02","ssRNA(-)",15277,"complete","Netherlands",2019-12-24,"Human respiratory syncytial virus A isolate UU01A-0150-V02, complete genome",2019,52,"2019/2020","A","A.D.2.1","GA2.3.5"
"MZ515902.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0069-V02","ssRNA(-)",15280,"complete","Spain",2018-12-19,"Human respiratory syncytial virus A isolate SE01A-0069-V02, complete genome",2018,51,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515905.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8105-V02","ssRNA(-)",15274,"complete","United Kingdom",2018-11-05,"Human respiratory syncytial virus A isolate OX01A-8105-V02, complete genome",2018,45,"2018/2019","A","A.D.2.2","GA2.3.5"
"MZ515906.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0164-D02","ssRNA(-)",15273,"partial","Netherlands",2019-12-31,"Human respiratory syncytial virus A isolate UU02-0164-D02, partial genome",2020,1,"2019/2020","A","A.D.5","GA2.3.5"
"MZ515907.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8756-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-10-28,"Human respiratory syncytial virus A isolate OX02-8756-V01, complete genome",2019,44,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515908.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8608-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8608-V01, complete genome",2018,47,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515909.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8497-V01","ssRNA(-)",15273,"complete","United Kingdom",2018-12-18,"Human respiratory syncytial virus A isolate OX02-8497-V01, complete genome",2018,51,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515910.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8299-V01","ssRNA(-)",15280,"complete","United Kingdom",2019-11-13,"Human respiratory syncytial virus A isolate OX02-8299-V01, complete genome",2019,46,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515911.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8917-V01","ssRNA(-)",15276,"complete","United Kingdom",2019-11-12,"Human respiratory syncytial virus A isolate OX02-8917-V01, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515912.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0205-V02","ssRNA(-)",15282,"partial","Spain",2020-01-20,"Human respiratory syncytial virus A isolate SE01A-0205-V02, partial genome",2020,4,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515913.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0092-V02","ssRNA(-)",15273,"complete","Netherlands",2019-11-25,"Human respiratory syncytial virus A isolate UU01A-0092-V02, complete genome",2019,48,"2019/2020","A","A.D","GA2.3.5"
"MZ515915.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8168-D08","ssRNA(-)",15151,"partial","United Kingdom",2018-01-18,"Human respiratory syncytial virus A isolate OX02-8168-D08, partial genome",2018,3,"2017/2018","A","A.D.1","GA2.3.5"
"MZ515920.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0006-D07","ssRNA(-)",15211,"partial","Spain",2019-01-16,"Human respiratory syncytial virus A isolate SE02-0006-D07, partial genome",2019,3,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515921.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8437-V01","ssRNA(-)",15273,"complete","United Kingdom",2018-12-13,"Human respiratory syncytial virus A isolate OX02-8437-V01, complete genome",2018,50,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515922.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8663-D02","ssRNA(-)",15279,"complete","United Kingdom",2018-10-23,"Human respiratory syncytial virus A isolate OX02-8663-D02, complete genome",2018,43,"2018/2019","A","A.D","GA2.3.5"
"MZ515923.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8438-V02","ssRNA(-)",15280,"complete","United Kingdom",2019-11-14,"Human respiratory syncytial virus A isolate OX01A-8438-V02, complete genome",2019,46,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515927.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8234-D02","ssRNA(-)",15279,"complete","United Kingdom",2018-11-20,"Human respiratory syncytial virus A isolate OX02-8234-D02, complete genome",2018,47,"2018/2019","A","A.D","GA2.3.5"
"MZ515928.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX01A-8459-V02","ssRNA(-)",15279,"complete","United Kingdom",2019-12-09,"Human respiratory syncytial virus A isolate OX01A-8459-V02, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515929.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8371-V01","ssRNA(-)",15277,"complete","United Kingdom",2018-12-13,"Human respiratory syncytial virus A isolate OX02-8371-V01, complete genome",2018,50,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515931.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0159-V01","ssRNA(-)",15279,"complete","Netherlands",2019-12-23,"Human respiratory syncytial virus A isolate UU02-0159-V01, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515933.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8937-D02","ssRNA(-)",15277,"complete","United Kingdom",2018-12-15,"Human respiratory syncytial virus A isolate OX02-8937-D02, complete genome",2018,50,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515939.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0016-V01","ssRNA(-)",15273,"complete","Netherlands",2017-12-14,"Human respiratory syncytial virus A isolate UU02-0016-V01, complete genome",2017,50,"2017/2018","A","A.D.2.2","GA2.3.5"
"MZ515940.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0108-V02","ssRNA(-)",15276,"complete","Spain",2019-12-19,"Human respiratory syncytial virus A isolate SE01A-0108-V02, complete genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515941.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0163-V02","ssRNA(-)",15277,"complete","Spain",2019-12-09,"Human respiratory syncytial virus A isolate SE01A-0163-V02, complete genome",2019,50,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515942.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9801-V01","ssRNA(-)",15279,"complete","United Kingdom",2019-12-13,"Human respiratory syncytial virus A isolate OX02-9801-V01, complete genome",2019,50,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515943.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0045-V02","ssRNA(-)",15272,"complete","Spain",2018-12-26,"Human respiratory syncytial virus A isolate SE01A-0045-V02, complete genome",2018,52,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515945.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0061-V01","ssRNA(-)",15272,"complete","Netherlands",2018-12-11,"Human respiratory syncytial virus A isolate UU02-0061-V01, complete genome",2018,50,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515948.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8390-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-11-15,"Human respiratory syncytial virus A isolate OX02-8390-D02, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515949.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8259-V01","ssRNA(-)",15275,"partial","United Kingdom",2019-11-27,"Human respiratory syncytial virus A isolate OX02-8259-V01, partial genome",2019,48,"2019/2020","A","A.D.4.1","GA2.3.5"
"MZ515951.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8513-D02","ssRNA(-)",15275,"complete","United Kingdom",2018-11-14,"Human respiratory syncytial virus A isolate OX02-8513-D02, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515954.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8566-D02","ssRNA(-)",15280,"complete","United Kingdom",2018-11-14,"Human respiratory syncytial virus A isolate OX02-8566-D02, complete genome",2018,46,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515956.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0003-V01","ssRNA(-)",15280,"complete","Spain",2019-01-03,"Human respiratory syncytial virus A isolate SE02-0003-V01, complete genome",2019,1,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ515957.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0163-V01","ssRNA(-)",15280,"complete","Netherlands",2019-12-27,"Human respiratory syncytial virus A isolate UU02-0163-V01, complete genome",2019,52,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515958.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8175-V01","ssRNA(-)",15012,"partial","United Kingdom",2018-12-04,"Human respiratory syncytial virus A isolate OX02-8175-V01, partial genome",2018,49,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515959.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8987-V01","ssRNA(-)",15276,"complete","United Kingdom",2018-12-04,"Human respiratory syncytial virus A isolate OX02-8987-V01, complete genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515960.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0091-V02","ssRNA(-)",15273,"partial","Netherlands",2019-12-17,"Human respiratory syncytial virus A isolate UU01A-0091-V02, partial genome",2019,51,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515961.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0107-V02","ssRNA(-)",15279,"complete","Spain",2020-01-08,"Human respiratory syncytial virus A isolate SE01A-0107-V02, complete genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515962.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0021-D03","ssRNA(-)",15283,"complete","Spain",2019-12-31,"Human respiratory syncytial virus A isolate SE02-0021-D03, complete genome",2020,1,"2019/2020","A","A.D.2.2.1","GA2.3.5"
"MZ515963.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0018-V01","ssRNA(-)",15276,"complete","Spain",2019-12-12,"Human respiratory syncytial virus A isolate SE02-0018-V01, complete genome",2019,50,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515964.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8382-D02","ssRNA(-)",15280,"complete","United Kingdom",2018-11-21,"Human respiratory syncytial virus A isolate OX02-8382-D02, complete genome",2018,47,"2018/2019","A","A.D.3","GA2.3.5"
"MZ515966.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8323-V01","ssRNA(-)",15278,"complete","United Kingdom",2018-11-22,"Human respiratory syncytial virus A isolate OX02-8323-V01, complete genome",2018,47,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515967.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0073-V02","ssRNA(-)",15274,"complete","Netherlands",2018-12-13,"Human respiratory syncytial virus A isolate UU01A-0073-V02, complete genome",2018,50,"2018/2019","A","A.D","GA2.3.5"
"MZ515968.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0025-V01","ssRNA(-)",15274,"partial","Netherlands",2017-12-22,"Human respiratory syncytial virus A isolate UU02-0025-V01, partial genome",2017,51,"2017/2018","A","A.D.2.2","GA2.3.5"
"MZ515969.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8936-V01","ssRNA(-)",15278,"complete","United Kingdom",2019-01-04,"Human respiratory syncytial virus A isolate OX02-8936-V01, complete genome",2019,1,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515971.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU01A-0141-V02","ssRNA(-)",15280,"complete","Netherlands",2019-12-04,"Human respiratory syncytial virus A isolate UU01A-0141-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515973.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU03-0060-V02","ssRNA(-)",15273,"complete","Netherlands",2017-12-11,"Human respiratory syncytial virus A isolate UU03-0060-V02, complete genome",2017,50,"2017/2018","A","A.D","GA2.3.5"
"MZ515980.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8474-D02","ssRNA(-)",15276,"complete","United Kingdom",2018-12-05,"Human respiratory syncytial virus A isolate OX02-8474-D02, complete genome",2018,49,"2018/2019","A","A.D","GA2.3.5"
"MZ515983.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0010-V01","ssRNA(-)",14992,"partial","Netherlands",2017-12-27,"Human respiratory syncytial virus A isolate UU02-0010-V01, partial genome",2017,52,"2017/2018","A","A.D","GA2.3.5"
"MZ515984.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0071-V02","ssRNA(-)",15275,"complete","Spain",2019-01-16,"Human respiratory syncytial virus A isolate SE01A-0071-V02, complete genome",2019,3,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515985.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0205-V01","ssRNA(-)",15276,"complete","Netherlands",2019-12-05,"Human respiratory syncytial virus A isolate UU02-0205-V01, complete genome",2019,49,"2019/2020","A","A.D.2.2","GA2.3.5"
"MZ515986.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9216-D09","ssRNA(-)",15276,"complete","United Kingdom",2019-12-11,"Human respiratory syncytial virus A isolate OX02-9216-D09, complete genome",2019,50,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515987.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0015-D02","ssRNA(-)",15280,"complete","Spain",2019-11-20,"Human respiratory syncytial virus A isolate SE02-0015-D02, complete genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515989.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8433-V01","ssRNA(-)",15275,"complete","United Kingdom",2018-11-13,"Human respiratory syncytial virus A isolate OX02-8433-V01, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515992.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8047-V01","ssRNA(-)",15272,"complete","United Kingdom",2018-11-16,"Human respiratory syncytial virus A isolate OX02-8047-V01, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ515993.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D06","ssRNA(-)",15278,"complete","United Kingdom",2020-01-28,"Human respiratory syncytial virus A isolate OX02-9767-D06, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5"
"MZ515994.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8587-V01","ssRNA(-)",15245,"partial","United Kingdom",2019-11-19,"Human respiratory syncytial virus A isolate OX02-8587-V01, partial genome",2019,47,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515998.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8260-D04","ssRNA(-)",15275,"complete","United Kingdom",2019-11-11,"Human respiratory syncytial virus A isolate OX02-8260-D04, complete genome",2019,46,"2019/2020","A","A.D.1","GA2.3.5"
"MZ515999.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8497-D02","ssRNA(-)",15260,"complete","United Kingdom",2018-12-19,"Human respiratory syncytial virus A isolate OX02-8497-D02, complete genome",2018,51,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ516000.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9175-V01","ssRNA(-)",15273,"complete","United Kingdom",2019-12-31,"Human respiratory syncytial virus A isolate OX02-9175-V01, complete genome",2020,1,"2019/2020","A","A.D.1","GA2.3.5"
"MZ516001.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8382-D03","ssRNA(-)",14775,"partial","United Kingdom",2018-11-22,"Human respiratory syncytial virus A isolate OX02-8382-D03, partial genome",2018,47,"2018/2019","A","A.D.3","GA2.3.5"
"MZ516002.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0008-V01","ssRNA(-)",15276,"complete","Spain",2019-01-31,"Human respiratory syncytial virus A isolate SE02-0008-V01, complete genome",2019,5,"2018/2019","A","A.D.1","GA2.3.5"
"MZ516004.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0008-D02","ssRNA(-)",15124,"complete","Spain",2019-02-01,"Human respiratory syncytial virus A isolate SE02-0008-D02, complete genome",2019,5,"2018/2019","A","A.D.1","GA2.3.5"
"MZ516005.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","UU02-0169-V01","ssRNA(-)",15285,"complete","Netherlands",2020-02-06,"Human respiratory syncytial virus A isolate UU02-0169-V01, complete genome",2020,6,"2019/2020","A","A.D.3","GA2.3.5"
"MZ516007.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE02-0007-V01","ssRNA(-)",15273,"complete","Spain",2019-01-17,"Human respiratory syncytial virus A isolate SE02-0007-V01, complete genome",2019,3,"2018/2019","A","A.D.1","GA2.3.5"
"MZ516008.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8390-V01","ssRNA(-)",15278,"complete","United Kingdom",2018-11-14,"Human respiratory syncytial virus A isolate OX02-8390-V01, complete genome",2018,46,"2018/2019","A","A.D.1","GA2.3.5"
"MZ516009.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8711-D03","ssRNA(-)",15286,"partial","United Kingdom",2018-01-10,"Human respiratory syncytial virus A isolate OX02-8711-D03, partial genome",2018,2,"2017/2018","A","A.D.1","GA2.3.5"
"MZ516010.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8908-D02","ssRNA(-)",15272,"complete","United Kingdom",2018-12-01,"Human respiratory syncytial virus A isolate OX02-8908-D02, complete genome",2018,48,"2018/2019","A","A.D.2.2.1","GA2.3.5"
"MZ516011.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0186-V02","ssRNA(-)",15276,"complete","Spain",2020-01-07,"Human respiratory syncytial virus A isolate SE01A-0186-V02, complete genome",2020,2,"2019/2020","A","A.D.1","GA2.3.5"
"MZ516012.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9970-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-12-15,"Human respiratory syncytial virus A isolate OX02-9970-V01, complete genome",2019,51,"2019/2020","A","A.D.5.1","GA2.3.5"
"MZ516014.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","SE01A-0119-V02","ssRNA(-)",15279,"complete","Spain",2019-12-03,"Human respiratory syncytial virus A isolate SE01A-0119-V02, complete genome",2019,49,"2019/2020","A","A.D.1","GA2.3.5"
"MZ516015.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8260-V01","ssRNA(-)",15275,"complete","United Kingdom",2019-11-08,"Human respiratory syncytial virus A isolate OX02-8260-V01, complete genome",2019,45,"2019/2020","A","A.D.1","GA2.3.5"
"MZ516017.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8086-V01","ssRNA(-)",15278,"complete","United Kingdom",2019-11-20,"Human respiratory syncytial virus A isolate OX02-8086-V01, complete genome",2019,47,"2019/2020","A","A.D.3","GA2.3.5"
"MZ516019.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-8575-D02","ssRNA(-)",15273,"complete","United Kingdom",2018-01-19,"Human respiratory syncytial virus A isolate OX02-8575-D02, complete genome",2018,3,"2017/2018","A","A.D","GA2.3.5"
"MZ516023.1","Human respiratory syncytial virus A","Oxford Vaccine Group, Department of Paediatrics, University of Oxford","United Kingdom","OX02-9767-D07","ssRNA(-)",15277,"complete","United Kingdom",2020-01-29,"Human respiratory syncytial virus A isolate OX02-9767-D07, complete genome",2020,5,"2019/2020","A","A.D.3","GA2.3.5"
